행정구역별(읍면동),2018,2018,2018,2018,2018,2018,2018,2018,2018
행정구역별(읍면동),총인구 (명),남자 (명),여자 (명),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
대덕구,184308,93394,90914,10904,39404,1560,8707,792,1088
울산광역시,1150116,595795,554321,66764,273230,8080,25226,6441,10518
읍부,170611,89508,81103,9838,42233,1207,2725,845,1119
면부,54223,28658,25565,11829,8012,799,1314,504,1351
동부,925282,477629,447653,45097,222985,6074,21187,5092,8048
중구,227054,115519,111535,15604,45605,1935,6991,1375,1607
남구,327561,167350,160211,14134,80444,2234,8374,2285,4626
동구,166992,88798,78194,7948,39232,1418,4058,844,967
북구,203675,105962,97713,7411,57704,487,1764,588,848
울주군,224834,118166,106668,21667,50245,2006,4039,1349,2470
세종특별자치시,312374,157289,155085,16099,99512,1113,1531,704,2983
읍부,50660,26604,24056,2968,11135,739,890,371,363
면부,52239,28344,23895,12891,4732,187,641,333,1120
동부,209475,102341,107134,240,83645,187,X,X,1500
세종시,312374,157289,155085,16099,99512,1113,1531,704,2983
경기도,13103188,6635106,6468082,505213,2860249,126516,643052,34070,229894
읍부,1425450,741872,683578,81679,298358,21749,81694,5190,22893
면부,829967,456511,373456,160262,61797,9082,35658,6227,28886
동부,10847771,5436723,5411048,263272,2500094,95685,525700,22653,178115
수원시,1218843,616240,602603,34469,264809,8593,54779,2572,18174
장안구,288719,146009,142710,9074,55435,1948,18403,728,1356
권선구,379834,191697,188137,10508,83877,2305,19395,839,2700
팔달구,194299,98496,95803,10909,31015,1839,14709,772,5120
영통구,355991,180038,175953,3978,94482,2501,2272,233,8998
성남시,931393,461018,470375,35534,175174,10469,33089,1659,28991
수정구,240405,121508,118897,19481,25031,948,11552,624,3144
중원구,221034,111506,109528,10807,27945,679,19843,796,3982
분당구,469954,228004,241950,5246,122198,8842,1694,239,21865
의정부시,432286,213199,219087,13158,104963,2858,21018,1105,4513
안양시,566574,280358,286216,10055,129814,3310,33206,1266,7945
만안구,251818,125781,126037,6833,45236,2019,20788,749,2775
동안구,314756,154577,160179,3222,84578,1291,12418,517,5170
부천시,848756,421816,426940,18093,150842,7773,86086,2735,19059
광명시,323460,160088,163372,6008,71403,2016,24589,625,3807
평택시,504485,262531,241954,32688,122772,6133,28226,2012,6265
동두천시,97535,48888,48647,6522,21511,2507,5905,380,1030
안산시,720105,373477,346628,15659,98015,10016,75274,1370,10883
상록구,367063,187160,179903,8067,40590,1222,53319,738,2174
단원구,353042,186317,166725,7592,57425,8794,21955,632,8709
고양시,1006992,493670,513322,21125,246158,11494,34215,1613,27565
덕양구,436865,216427,220438,9853,105252,5324,22668,882,5861
일산동구,287473,140138,147335,7598,58750,4002,7211,423,18645
일산서구,282654,137105,145549,3674,82156,2168,4336,308,3059
과천시,53740,26376,27364,1732,8999,274,1673,94,493
구리시,195868,96907,98961,5175,45596,2275,5276,463,1210
남양주시,661866,330430,331436,16658,166666,11011,24513,1480,6900
오산시,228059,117424,110635,5095,60089,1562,7607,545,1994
시흥시,480201,254589,225612,7333,113575,1638,23467,1282,8951
군포시,276860,137539,139321,3553,70664,1140,11700,459,3549
의왕시,149599,74569,75030,2751,35548,683,8244,245,1664
하남시,238592,119859,118733,6119,63914,1141,1789,562,5948
용인시,1026126,512175,513951,28854,255968,10852,30545,1676,12126
처인구,259524,135040,124484,18455,38299,5648,21834,1218,3872
기흥구,422583,209139,213444,7068,115465,3432,6411,298,4010
수지구,344019,167996,176023,3331,102204,1772,2300,160,4244
파주시,447906,229834,218072,26001,106557,3582,12941,1280,6084
이천시,220599,113933,106666,21776,36247,3277,10295,1126,3210
안성시,201135,104916,96219,21619,41446,2601,3947,865,3462
김포시,424865,219676,205189,12884,115998,4285,7588,841,7372
화성시,777295,411255,366040,32057,199976,3705,15618,1857,19701
광주시,364178,188618,175560,15975,46086,3831,53281,982,4554
양주시,217776,111825,105951,10869,56487,1207,6548,926,3267
포천시,161564,87854,73710,21112,19968,2609,8776,1087,5350
여주시,112096,57035,55061,19891,13794,1358,4276,918,2037
연천군,43383,22888,20495,8980,4291,1177,1116,403,878
가평군,59957,30404,29553,14272,5132,1826,3051,802,1167
양평군,111094,55715,55379,29196,7787,1313,4414,840,1745
강원도,1520391,768604,751787,236392,322796,21373,12051,11032,15940
읍부,259555,133133,126422,48618,44780,6175,4074,2656,3318
면부,342341,177964,164377,110683,34228,3587,2732,3346,5714
동부,918495,457507,460988,77091,243788,11611,5245,5030,6908
춘천시,284985,140158,144827,26945,63321,1889,1427,1325,1944
원주시,344168,171818,172350,30172,94159,1171,1127,1408,2984
강릉시,215528,108495,107033,29558,46480,2760,1443,1687,1895
동해시,87830,44573,43257,10628,24012,1655,1153,668,727
태백시,43488,21928,21560,6052,11297,3061,164,407,357
속초시,78312,38834,39478,8575,23139,1478,475,602,1005
삼척시,67881,35175,32706,13661,14265,1563,907,548,632
홍천군,67177,34347,32830,18402,8017,1492,556,639,888
횡성군,44116,22417,21699,13910,4361,413,504,341,761
영월군,36762,18977,17785,11662,3907,665,792,378,624
평창군,40025,20497,19528,12479,5302,1923,995,476,721
정선군,35580,18582,16998,10087,5126,379,474,441,559
철원군,44346,23485,20861,9360,4668,995,899,442,770
화천군,23950,13041,10909,5786,2906,477,224,230,396
양구군,22101,11761,10340,4829,2703,324,174,247,295
인제군,30373,16416,13957,7488,3258,532,338,401,411
고성군,28127,15139,12988,8897,2163,109,113,371,494
양양군,25642,12961,12681,7901,3712,487,286,421,477
충청북도,1620935,826183,794752,209827,351577,16286,20306,9690,18386
읍부,324696,167828,156868,38611,72137,5146,6269,2021,4637
면부,356704,187712,168992,108886,41295,2815,5005,2136,7226
동부,939535,470643,468892,62330,238145,8325,9032,5533,6523
충주시,215224,109825,105399,29863,48981,2810,4881,1547,1951
제천시,136101,68478,67623,20782,31327,1869,994,1289,1147
청주시,845036,425541,419495,63404,204683,5437,6104,4036,8206
상당구,170120,84868,85252,16637,39884,1414,1783,932,989
서원구,216409,107382,109027,14044,54636,1241,1187,1136,1561
흥덕구,258037,130621,127416,17873,59778,1322,2024,908,3776
청원구,200470,102670,97800,14850,50385,1460,1110,1060,1880
보은군,32507,16357,16150,11753,2475,305,295,260,557
옥천군,49756,24997,24759,14051,5559,516,1079,406,709
영동군,48475,24151,24324,15265,3791,911,676,329,655
진천군,83915,45247,38668,10988,19059,1651,3201,415,1339
괴산군,38453,19905,18548,14153,1183,263,467,314,738
음성군,105539,58229,47310,16061,22264,1047,2079,522,2375
단양군,28444,14254,14190,9425,2778,1021,304,312,359
증평군,37485,19199,18286,4082,9477,456,226,260,350
충청남도,2181416,1119996,1061420,307981,453830,22457,40507,10977,31709
읍부,507389,261430,245959,67318,110237,8853,12864,3449,6652
면부,675822,354010,321812,193203,75749,4215,8434,3098,10661
동부,998205,504556,493649,47460,267844,9389,19209,4430,14396
천안시,671799,344688,327111,34284,175564,5868,13023,2735,12643
동남구,276455,141393,135062,20180,63171,3746,6397,1409,3214
서북구,395344,203295,192049,14104,112393,2122,6626,1326,9429
공주시,110119,54549,55570,23934,16776,1199,1264,710,1434
보령시,100229,51911,48318,22886,16354,1442,1031,832,1293
아산시,342272,179837,162435,24375,88306,1928,5085,1012,3803
서산시,174177,90379,83798,23252,40666,2097,4584,781,1427
논산시,122843,61625,61218,28210,16625,1234,1279,712,1687
계룡시,41557,20621,20936,1425,14064,260,380,45,375
당진시,169965,90747,79218,23062,33414,2276,3988,794,2231
금산군,55015,27627,27388,16039,4909,588,1046,375,1107
부여군,66527,32997,33530,22551,4978,910,898,511,813
서천군,52604,26272,26332,18519,3548,1248,1045,439,703
청양군,31181,15739,15442,11472,1617,269,478,180,484
홍성군,103044,51478,51566,20212,19685,822,2029,761,1564
예산군,79136,40273,38863,20764,10467,1300,2333,525,1117
태안군,60948,31253,29695,16996,6857,1016,2044,565,1028
전라북도,1818157,907683,910474,282342,389225,15941,14723,10619,17175
읍부,158711,79872,78839,30265,26684,2426,1317,1094,2261
면부,368494,184244,184250,157455,14341,1724,1273,2182,6661
동부,1290952,643567,647385,94622,348200,11791,12133,7343,8253
전주시,658912,325610,333302,42055,167709,4752,7107,2953,3253
완산구,348108,170114,177994,21421,90867,2254,2577,1534,1705
덕진구,310804,155496,155308,20634,76842,2498,4530,1419,1548
군산시,272204,139076,133128,29338,75568,4264,1376,1824,2488
익산시,294787,147902,146885,35201,72426,2264,3360,2030,2421
정읍시,108271,53890,54381,26424,18801,558,438,759,1548
남원시,78487,38400,40087,20438,12253,187,227,598,1015
김제시,81410,40538,40872,24710,11226,1015,224,448,1246
완주군,98002,50411,47591,19468,16852,280,451,376,1301
진안군,23306,11594,11712,8944,970,479,26,139,525
무주군,23058,11436,11622,8903,1392,189,237,174,449
장수군,21281,10526,10755,8136,704,322,133,173,373
임실군,26377,13238,13139,10632,1556,175,187,129,390
순창군,27136,12961,14175,10895,1328,265,159,170,399
고창군,54425,27004,27421,19552,3761,841,356,365,859
부안군,50501,25097,25404,17646,4679,350,442,481,908
전라남도,1790352,900154,890198,403583,335966,15241,10641,12535,24001
읍부,431659,217200,214459,85018,77418,6374,4255,3633,6980
