"구분별(1)",구분별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
"구분별(1)",구분별(2),도수관,도수관,도수관,도수관,도수관,송수관,송수관,송수관,송수관,송수관,배수관,배수관,배수관,배수관,배수관,급수관,급수관,급수관,급수관,급수관
"구분별(1)",구분별(2),계 (m),경년관 연장 (m),경년관 비율 (%),연장가중 평균연령 (년),비내식성 관로비율 (%),계 (m),경년관 연장 (m),경년관 비율 (%),연장가중 평균연령 (년),비내식성 관로비율 (%),계 (m),경년관 연장 (m),경년관 비율 (%),연장가중 평균연령 (년),비내식성 관로비율 (%),계 (m),경년관 연장 (m),경년관 비율 (%),연장가중 평균연령 (년),비내식성 관로비율 (%)
"부산광역시",총계,89134,34685,39,24,8,505250,107306,21,20,0,3552426,589191,17,19,0,4359961,143332,3,15,0
"부산광역시",에나멜코팅 도복장강관,27312,19760,72,30,0,101809,72839,72,30,0,1685,1389,82,30,0,0,0,0,0,0
"부산광역시",엑상에폭시 도복장강관,28772,0,0,19,0,147415,0,0,19,0,45546,0,0,15,0,2213510,927,0,11,0
"부산광역시",주철관,7422,5251,71,23,0,402,164,41,22,0,2624,875,33,25,0,0,0,0,0,0
"부산광역시",덕타일주철관,20473,4936,24,22,0,251922,32000,13,17,0,3489784,585523,17,19,0,0,0,0,0,0
"부산광역시",PVC관,0,0,0,0,0,0,0,0,0,0,184,0,0,4,0,689,57,8,15,0
"부산광역시",내충격수도관,0,0,0,0,0,0,0,0,0,0,855,469,55,17,0,1113,699,63,20,0
"부산광역시",PE관,0,0,0,0,0,0,0,0,0,0,2059,861,42,14,0,1297,0,0,2,0
"부산광역시",아연도강관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,402,402,100,31,0
"부산광역시",동관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
"부산광역시",스테인레스관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2139521,141247,7,18,0
"부산광역시",흄관,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-
"부산광역시",기타,5155,4738,92,29,0,3702,2303,62,21,0,9689,74,1,10,0,3429,0,0,4,0
"대구광역시",총계,37528,23588,63,27,0,371613,86482,23,21,1,5676157,390002,7,19,1,1884651,37530,2,21,0
"대구광역시",에나멜코팅 도복장강관,34301,23460,68,29,0,192091,73515,38,25,0,19258,4878,25,24,0,330,330,100,31,0
"대구광역시",엑상에폭시 도복장강관,2108,0,0,7,0,15870,0,0,5,0,596662,2195,0,22,0,35244,455,1,22,0
"대구광역시",주철관,0,0,0,0,0,4468,73,2,20,0,68493,4557,7,26,0,706,706,100,31,0
"대구광역시",덕타일주철관,1119,128,11,13,0,158662,12894,8,17,0,3829823,334599,9,20,0,53885,2060,4,18,0
"대구광역시",PVC관,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"대구광역시",내충격수도관,0,0,0,0,0,522,0,0,5,0,221989,1752,1,6,0,3137,53,2,6,0
"대구광역시",PE관,0,0,0,0,0,0,0,0,0,0,38107,9054,24,20,0,3168,3168,100,28,0
"대구광역시",아연도강관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4063,4063,100,31,0
