"행정구역별(시군구)","성별","연령별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"행정구역별(시군구)","성별","연령별",내국인(6세이상),초등학교-계,초등학교-졸업,초등학교-재학,초등학교-중퇴,중학교-계,중학교-졸업,중학교-재학,중학교-중퇴,고등학교-계,고등학교-졸업,고등학교-재학,고등학교-중퇴,대학(4년제 미만)-계,대학-졸업,대학-재학,대학-수료,대학-휴학,대학-중퇴,대학교(4년제 이상)-계,대학교-졸업,대학교-재학,대학교-수료,대학교-휴학,대학교-중퇴,대학원(석사과정)-계,대학원-졸업,대학원-재학,대학원-수료,대학원-중퇴,대학원(박사과정)-계,대학원-졸업,대학원-재학,대학원-수료,대학원-중퇴,받지않았음     (미취학 포함)
"강서구","계","합계",530869,55170,25710,26843,2617,47265,29383,15378,2504,160745,140282,16817,3646,71517,56080,5684,1110,3052,5591,158821,128778,15922,1332,6239,6550,22136,16104,2961,2372,699,4179,2275,893,890,121,11036
"구로구","계","합계",381097,43687,22683,19076,1928,37412,25705,9931,1776,114406,100774,11484,2148,53248,42292,4481,953,2152,3370,106280,86266,10740,913,4162,4199,14804,11307,1631,1516,350,3072,1789,526,683,74,8188
"금천구","계","합계",215450,25623,14917,9053,1653,25711,18654,5583,1474,76294,67730,6645,1919,28488,21848,2529,381,1247,2483,47290,36487,5542,442,2261,2558,5400,3944,844,454,158,1079,607,200,256,16,5565
"영등포구","계","합계",338321,35384,18278,15217,1889,29305,19751,8096,1458,87278,75984,9372,1922,38758,30808,3264,770,1556,2360,115174,95274,11544,925,3845,3586,21475,16027,2476,2280,692,4871,2912,829,1055,75,6076
"동작구","계","합계",373421,35685,17373,16371,1941,28429,17875,8976,1578,91623,79294,10315,2014,42037,32601,3562,885,1778,3211,139142,105392,21211,1364,5892,5283,23605,17513,3157,2281,654,6222,3889,1063,1227,43,6678
"관악구","계","합계",474131,46974,26694,17516,2764,41116,28705,9847,2564,128614,113544,12019,3051,61004,48334,4611,858,2496,4705,156633,120263,21195,1557,6966,6652,23083,15189,4735,2353,806,7774,3646,2353,1636,139,8933
"서초구","계","합계",389692,31954,7424,23805,725,21372,7024,13821,527,64026,48719,14176,1131,29990,23073,2646,767,1205,2299,170943,142280,18487,1541,4330,4305,47180,37467,4376,4133,1204,18806,14212,1851,2480,263,5421
"강남구","계","합계",507300,38191,10422,26488,1281,29163,10115,18001,1047,94523,70907,21771,1845,41634,32047,3578,678,2180,3151,220757,183512,22939,1942,6273,6091,54055,42815,4849,4893,1498,22322,17066,1828,3048,380,6655
"송파구","계","합계",591252,55026,19979,33067,1980,41746,20922,19203,1621,142952,119035,21465,2452,63432,49134,5318,1113,2783,5084,220501,179643,24663,1470,7416,7309,44463,34626,4934,3694,1209,13186,9181,1810,1990,205,9946
"강동구","계","합계",415370,42546,18994,21459,2093,37974,23440,12857,1677,126847,109477,14883,2487,51715,39983,4163,895,2320,4354,125722,99859,14133,881,5252,5597,18597,14187,2269,1586,555,3840,2190,805,777,68,8129
"부산광역시","계","합계",3240233,418610,238878,155419,24313,386115,270332,96134,19649,998370,860408,112911,25051,386826,308120,29880,4257,17275,27294,846466,609170,147625,5053,45086,39532,85128,61144,11695,10012,2277,26406,17036,3386,5572,412,92312
"동부","계","합계",3106826,399118,230002,145491,23625,371854,261253,91596,19005,958477,826496,107945,24036,367922,292372,29013,4059,16703,25775,814590,583583,144777,4886,43651,37693,82310,59056,11331,9737,2186,25651,16576,3251,5433,391,86904
"읍부","계","합계",118335,17089,7100,9473,516,11860,7080,4240,540,35038,29535,4598,905,17371,14489,783,182,495,1422,29198,23596,2527,151,1282,1642,2604,1909,346,258,91,692,422,118,131,21,4483
"면부","계","합계",15072,2403,1776,455,172,2401,1999,298,104,4855,4377,368,110,1533,1259,84,16,77,97,2678,1991,321,16,153,197,214,179,18,17,-,63,38,17,8,-,925
