"행정구역별(시군구)","연령별","항목","단위","2015 년",
"동부","45~49세","내국인-이혼","","351565",
"동부","50~54세","내국인(15세이상)-계","","3402390",
"동부","50~54세","내국인-미혼","","187816",
"동부","50~54세","내국인-배우자있음","","2716551",
"동부","50~54세","내국인-사별","","119390",
"동부","50~54세","내국인-이혼","","378633",
"동부","55~59세","내국인(15세이상)-계","","3094163",
"동부","55~59세","내국인-미혼","","112741",
"동부","55~59세","내국인-배우자있음","","2450985",
"동부","55~59세","내국인-사별","","202624",
"동부","55~59세","내국인-이혼","","327813",
"동부","60~64세","내국인(15세이상)-계","","2150177",
"동부","60~64세","내국인-미혼","","50979",
"동부","60~64세","내국인-배우자있음","","1664237",
"동부","60~64세","내국인-사별","","249405",
"동부","60~64세","내국인-이혼","","185556",
"동부","65~69세","내국인(15세이상)-계","","1601625",
"동부","65~69세","내국인-미혼","","25144",
"동부","65~69세","내국인-배우자있음","","1161955",
"동부","65~69세","내국인-사별","","307417",
"동부","65~69세","내국인-이혼","","107109",
"동부","70~74세","내국인(15세이상)-계","","1263883",
"동부","70~74세","내국인-미혼","","14415",
"동부","70~74세","내국인-배우자있음","","817444",
"동부","70~74세","내국인-사별","","374780",
"동부","70~74세","내국인-이혼","","57244",
"동부","75~79세","내국인(15세이상)-계","","907511",
"동부","75~79세","내국인-미혼","","8242",
"동부","75~79세","내국인-배우자있음","","488041",
"동부","75~79세","내국인-사별","","385513",
"동부","75~79세","내국인-이혼","","25715",
"동부","80~84세","내국인(15세이상)-계","","519368",
"동부","80~84세","내국인-미혼","","4651",
"동부","80~84세","내국인-배우자있음","","200734",
"동부","80~84세","내국인-사별","","305014",
"동부","80~84세","내국인-이혼","","8969",
"동부","85세이상","내국인(15세이상)-계","","336990",
"동부","85세이상","내국인-미혼","","4638",
"동부","85세이상","내국인-배우자있음","","70533",
"동부","85세이상","내국인-사별","","258029",
"동부","85세이상","내국인-이혼","","3790",
"읍부","합계","내국인(15세이상)-계","","3759632",
"읍부","합계","내국인-미혼","","1039888",
"읍부","합계","내국인-배우자있음","","2198252",
"읍부","합계","내국인-사별","","347001",
"읍부","합계","내국인-이혼","","174491",
"읍부","15~19세","내국인(15세이상)-계","","293127",
"읍부","15~19세","내국인-미혼","","291873",
"읍부","15~19세","내국인-배우자있음","","623",
"읍부","15~19세","내국인-사별","","593",
"읍부","15~19세","내국인-이혼","","38",
"읍부","20~24세","내국인(15세이상)-계","","265824",
"읍부","20~24세","내국인-미혼","","256299",
"읍부","20~24세","내국인-배우자있음","","8077",
"읍부","20~24세","내국인-사별","","1134",
"읍부","20~24세","내국인-이혼","","314",
"읍부","25~29세","내국인(15세이상)-계","","221180",
"읍부","25~29세","내국인-미혼","","169078",
"읍부","25~29세","내국인-배우자있음","","50505",
"읍부","25~29세","내국인-사별","","346",
"읍부","25~29세","내국인-이혼","","1251",
"읍부","30~34세","내국인(15세이상)-계","","299460",
"읍부","30~34세","내국인-미혼","","112659",
"읍부","30~34세","내국인-배우자있음","","181581",
"읍부","30~34세","내국인-사별","","437",
"읍부","30~34세","내국인-이혼","","4783",
"읍부","35~39세","내국인(15세이상)-계","","344801",
"읍부","35~39세","내국인-미혼","","72386",
"읍부","35~39세","내국인-배우자있음","","259082",
"읍부","35~39세","내국인-사별","","1351",
"읍부","35~39세","내국인-이혼","","11982",
"읍부","40~44세","내국인(15세이상)-계","","383283",
"읍부","40~44세","내국인-미혼","","55804",
"읍부","40~44세","내국인-배우자있음","","299506",
"읍부","40~44세","내국인-사별","","3585",
"읍부","40~44세","내국인-이혼","","24388",
"읍부","45~49세","내국인(15세이상)-계","","368815",
"읍부","45~49세","내국인-미혼","","35768",
"읍부","45~49세","내국인-배우자있음","","292692",
"읍부","45~49세","내국인-사별","","7263",
"읍부","45~49세","내국인-이혼","","33092",
"읍부","50~54세","내국인(15세이상)-계","","352565",
"읍부","50~54세","내국인-미혼","","21330",
"읍부","50~54세","내국인-배우자있음","","282829",
"읍부","50~54세","내국인-사별","","13886",
"읍부","50~54세","내국인-이혼","","34520",
"읍부","55~59세","내국인(15세이상)-계","","330532",
"읍부","55~59세","내국인-미혼","","12714",
"읍부","55~59세","내국인-배우자있음","","263908",
"읍부","55~59세","내국인-사별","","24013",
"읍부","55~59세","내국인-이혼","","29897",
"읍부","60~64세","내국인(15세이상)-계","","241581",
"읍부","60~64세","내국인-미혼","","5471",
"읍부","60~64세","내국인-배우자있음","","188174",
"읍부","60~64세","내국인-사별","","31467",
"읍부","60~64세","내국인-이혼","","16469",
